Category,Competitor,Price_Low,Price_High,Unit,Key_Features
Corporate Wellness,Virgin Pulse,13.5,53.0,per employee per month,"Health challenges, biometric screening, coaching"
Corporate Wellness,Wellhub (Gympass),10.0,25.0,per employee per month,"Gym network access, wellness programs, analytics"
Corporate Wellness,Thrive Global,50.0,200.0,per employee per month,"Microsteps, behavioral change, stress management"
Corporate Wellness,Headspace for Work,7.5,15.0,per employee per month,"Meditation, mindfulness, mental health coaching"
Corporate Wellness,Johnson & Johnson Wellness,20.0,100.0,per employee per month,"Comprehensive health programs, ROI tracking"
Corporate Wellness,Neuroscience-based Programs,100.0,500.0,per employee per month,"Brain-based wellness, neurofeedback, cognitive training"
Certification,NASM Specializations,199.0,899.0,one-time certification,"Various specializations (MMA, Wellness Coach, etc.)"
Certification,ACSM Certifications,279.0,349.0,one-time certification,"Exercise physiology, fitness assessment certifications"
Certification,Precision Nutrition,799.0,999.0,one-time certification,"Nutrition coaching, behavior change methods"
Certification,Brain Fitness Certifications,100.0,1000.0,one-time certification,"Brain health, cognitive fitness, neuroplasticity training"
Mobile App,Freeletics,6.99,34.99,per month,"AI personal trainer, bodyweight workouts, challenges"
Mobile App,Nike Training Club,0.0,0.0,free,"Free workouts, Nike product integration, expert trainers"
Mobile App,Fitbod,12.99,15.99,per month,"Personalized strength training, progress tracking"
Mobile App,Seven - 7 Minute Workout,4.99,9.99,per month,"7-minute HIIT workouts, gamification, achievements"
Mobile App,Lumosity,11.95,11.95,per month,"Brain games, cognitive training, memory improvement"
Mobile App,Peak,2.0,8.0,per month,"Brain training games, competitions, personalization"
Mobile App,Elevate,4.99,39.99,per month/year,"Language/communication focus, skill-based training"
Mobile App,Personal Trainer AI,10.0,20.0,per month,"AI form correction, real-time feedback, custom workouts"
